5,1306328,4,$33.31 ,25
8,7349583,5,$94.27 ,23
12,2671822,8,$61.14 ,25
12,3891876,5,$61.14 ,15
12,6927844,3,$61.14 ,18
16,5676,7,$88.48 ,23
20,7867111,3,$44.77 ,23
20,10449677,8,$50.70 ,17
20,121212,3,$79.86 ,15
20,12345,5,$44.77 ,20
28,4066054,3,$4.25 ,20
29,6890824,6,$98.47 ,16
43,3565960,5,$57.94 ,21
85,9291107,7,$19.86 ,21
86,1891936,8,$58.73 ,20
90,5554827,7,$61.14 ,23
90,7835500,7,$61.14 ,22
140,8355732,8,$66.70 ,24
145,2345590,3,$61.14 ,16
145,10468163,5,$5.56 ,16
151,10468164,8,$33.31 ,25
156,10468165,3,$94.27 ,16
163,10468166,5,$61.14 ,18
164,10468167,5,$61.14 ,22
165,10468168,6,$61.14 ,15
179,10468169,8,$88.48 ,17
188,10468170,6,$44.77 ,15
197,10468171,3,$50.70 ,23
209,10468172,5,$79.86 ,16
221,10468173,5,$44.77 ,22
233,10468174,5,$4.25 ,18
240,10468175,8,$98.47 ,22
241,10468176,7,$57.94 ,23
251,10468177,4,$19.86 ,24
262,10468178,6,$58.73 ,17
272,10468179,7,$61.14 ,23
275,10468180,3,$61.14 ,16
279,10468181,7,$66.70 ,25
289,10468182,8,$61.14 ,24
298,10468183,3,$5.56 ,15
311,10468184,8,$33.31 ,20
318,10468185,6,$94.27 ,24
332,10468186,6,$61.14 ,22
345,10468187,3,$61.14 ,19
357,10468188,6,$61.14 ,21
362,10468189,7,$88.48 ,17
368,10468190,7,$44.77 ,25
368,10468191,7,$50.70 ,25
381,10468192,5,$79.86 ,16
381,10468193,7,$44.77 ,24
385,10468194,6,$4.25 ,19
385,10468195,6,$98.47 ,23
392,10468196,6,$57.94 ,23
400,10468197,5,$19.86 ,22
407,10468198,5,$58.73 ,21
421,10468199,8,$61.14 ,15
423,10468200,5,$61.14 ,20
432,10468201,8,$66.70 ,19
447,10468202,7,$61.14 ,22
462,10468203,4,$5.56 ,16
463,10468204,3,$33.31 ,23
463,10468205,4,$94.27 ,21
463,10468206,8,$61.14 ,22
463,10468207,4,$61.14 ,16
463,10468208,4,$61.14 ,15
508,10468209,6,$88.48 ,25
521,10468210,7,$44.77 ,25
525,10468211,4,$50.70 ,21
529,10468212,3,$79.86 ,25
532,10468213,7,$44.77 ,23
539,10468214,4,$4.25 ,21
549,10468215,8,$98.47 ,24
564,10468216,5,$57.94 ,16
566,10468217,7,$19.86 ,19
580,10468218,7,$58.73 ,15
585,10468219,4,$61.14 ,16
589,10468220,7,$61.14 ,21
602,10468221,8,$66.70 ,17
609,10468222,8,$61.14 ,19
619,10468223,7,$5.56 ,20
623,10468224,3,$33.31 ,19
629,10468225,8,$94.27 ,16
632,10468226,4,$61.14 ,20
632,10468227,6,$61.14 ,24
632,10468228,6,$61.14 ,23
632,10468229,6,$88.48 ,17
632,10468230,3,$44.77 ,23
632,10468231,8,$50.70 ,17
632,10468232,4,$79.86 ,25
685,10468233,6,$44.77 ,22
694,10468234,6,$4.25 ,22
695,10468235,4,$98.47 ,20
695,10468236,4,$57.94 ,24
703,10468237,5,$19.86 ,17
712,10468238,3,$58.73 ,19
727,10468239,8,$61.14 ,20
734,10468240,8,$61.14 ,21
742,10468241,3,$66.70 ,16
750,10468242,8,$61.14 ,16
762,10468243,4,$5.56 ,17
773,10468244,7,$33.31 ,17
778,10468245,5,$94.27 ,17
793,10468246,5,$61.14 ,15
804,10468247,5,$61.14 ,18
804,10468248,8,$61.14 ,19
804,10468249,6,$88.48 ,15
804,10468250,5,$44.77 ,18
804,10468251,5,$50.70 ,19
804,10468252,6,$79.86 ,25
804,10468253,7,$44.77 ,19
804,10468254,3,$4.25 ,25
804,10468255,5,$98.47 ,24
804,10468256,3,$57.94 ,24
804,10468257,7,$19.86 ,18
804,10468258,4,$58.73 ,22
804,10468259,6,$61.14 ,15
804,10468260,4,$61.14 ,17
804,10468261,3,$66.70 ,19
804,10468262,7,$61.14 ,18
804,10468263,5,$5.56 ,21
804,10468264,8,$33.31 ,21
