5,9291107,10,$19.86 ,3
8,5676,14,$88.48 ,23
12,121212,12,$79.86 ,23
12,7835500,5,$61.14 ,23
12,12345,12,$44.77 ,23
16,7867111,14,$44.77 ,23
20,10468163,1,$5.56 ,33
20,10449677,13,$50.70 ,73
20,1306328,23,$33.31 ,73
20,4066054,11,$4.25 ,73
28,5554827,5,$61.14 ,83
29,6927844,16,$61.14 ,103
43,3891876,16,$61.14 ,113
85,7349583,17,$94.27 ,123
86,3565960,10,$57.94 ,123
90,6890824,10,$98.47 ,133
90,8355732,4,$66.70 ,133
140,2345590,2,$61.14 ,133
145,2671822,16,$61.14 ,133
145,1891936,6,$58.73 ,133
