5,4066054,11,$4.25 ,73
8,10468163,1,$5.56 ,33
12,9291107,10,$19.86 ,3
12,1306328,23,$33.31 ,73
12,12345,12,$44.77 ,23
16,7867111,14,$44.77 ,23
20,10449677,13,$50.70 ,73
20,3565960,10,$57.94 ,123
20,1891936,6,$58.73 ,133
20,7835500,5,$61.14 ,23
28,2345590,2,$61.14 ,133
29,2671822,16,$61.14 ,133
43,6927844,16,$61.14 ,103
85,3891876,16,$61.14 ,113
86,5554827,5,$61.14 ,83
90,8355732,4,$66.70 ,133
90,121212,12,$79.86 ,23
140,5676,14,$88.48 ,23
145,7349583,17,$94.27 ,123
145,6890824,10,$98.47 ,133
